Date,AMZN,AAPL,META,MSFT,NVDA, SP500 
02/01/2015,15.43,27.33,78.45,46.76,0.5,2058.2
05/01/2015,15.11,26.56,77.19,46.33,0.49,2020.6
06/01/2015,14.76,26.57,76.15,45.65,0.48,2002.6
07/01/2015,14.92,26.94,76.15,46.23,0.48,2025.9
08/01/2015,15.02,27.97,78.17,47.59,0.5,2062.1
09/01/2015,14.85,28,77.74,47.19,0.5,2044.8
12/01/2015,14.57,27.31,76.72,46.6,0.49,2028.3
13/01/2015,14.74,27.55,76.45,46.35,0.49,2023
14/01/2015,14.66,27.45,76.28,45.95,0.49,2011.3
15/01/2015,14.35,26.7,74.05,45.48,0.49,1992.7
16/01/2015,14.54,26.5,75.18,46.24,0.5,2019.4
20/01/2015,14.47,27.18,76.24,46.39,0.5,2022.5
21/01/2015,14.86,27.39,76.74,45.92,0.51,2032.1
22/01/2015,15.52,28.1,77.65,47.13,0.52,2063.2
23/01/2015,15.62,28.25,77.83,47.18,0.52,2051.8
26/01/2015,15.48,28.27,77.5,47.01,0.52,2057.1
27/01/2015,15.34,27.29,75.78,42.66,0.49,2029.5
28/01/2015,15.2,28.83,76.24,41.19,0.48,2002.2
29/01/2015,15.59,29.73,78,42.01,0.49,2021.2
30/01/2015,17.73,29.29,75.91,40.4,0.48,1995
02/02/2015,18.22,29.66,74.99,41.28,0.49,2020.8
03/02/2015,18.18,29.66,75.4,41.6,0.5,2050
04/02/2015,18.24,29.89,75.63,41.84,0.5,2041.5
05/02/2015,18.69,29.98,75.61,42.45,0.51,2062.5
06/02/2015,18.71,29.73,74.47,42.41,0.51,2055.5
09/02/2015,18.53,29.93,74.44,42.36,0.51,2046.7
10/02/2015,18.65,30.5,75.19,42.6,0.52,2068.6
11/02/2015,18.76,31.22,76.51,42.38,0.52,2068.5
12/02/2015,18.86,31.61,76.23,43.09,0.56,2088.5
13/02/2015,19.09,31.77,75.74,43.87,0.56,2097
17/02/2015,18.77,31.96,75.6,43.58,0.56,2100.3
18/02/2015,18.67,32.18,76.71,43.53,0.55,2099.7
19/02/2015,18.95,32.11,79.42,43.5,0.55,2097.4
